,fruit name,file name
0,Apple Braeburn,321_100.jpg
1,Apple Braeburn,322_100.jpg
2,Apple Braeburn,323_100.jpg
3,Apple Braeburn,324_100.jpg
4,Apple Braeburn,325_100.jpg
5,Apple Braeburn,326_100.jpg
6,Apple Braeburn,327_100.jpg
7,Apple Braeburn,32_100.jpg
8,Apple Braeburn,33_100.jpg
9,Apple Braeburn,34_100.jpg
10,Apple Braeburn,35_100.jpg
11,Apple Braeburn,36_100.jpg
12,Apple Braeburn,37_100.jpg
13,Apple Braeburn,38_100.jpg
14,Apple Braeburn,39_100.jpg
15,Apple Braeburn,3_100.jpg
16,Apple Braeburn,40_100.jpg
17,Apple Braeburn,41_100.jpg
18,Apple Braeburn,42_100.jpg
19,Apple Braeburn,44_100.jpg
20,Apple Braeburn,45_100.jpg
21,Apple Braeburn,46_100.jpg
22,Apple Braeburn,47_100.jpg
23,Apple Braeburn,48_100.jpg
24,Apple Braeburn,49_100.jpg
25,Apple Braeburn,4_100.jpg
26,Apple Braeburn,50_100.jpg
27,Apple Braeburn,51_100.jpg
28,Apple Braeburn,52_100.jpg
29,Apple Braeburn,53_100.jpg
30,Apple Braeburn,54_100.jpg
31,Apple Braeburn,55_100.jpg
32,Apple Braeburn,56_100.jpg
33,Apple Braeburn,57_100.jpg
34,Apple Braeburn,58_100.jpg
35,Apple Braeburn,59_100.jpg
36,Apple Braeburn,5_100.jpg
37,Apple Braeburn,60_100.jpg
38,Apple Braeburn,62_100.jpg
39,Apple Braeburn,63_100.jpg
40,Apple Braeburn,64_100.jpg
41,Apple Braeburn,65_100.jpg
42,Apple Braeburn,66_100.jpg
43,Apple Braeburn,67_100.jpg
44,Apple Braeburn,68_100.jpg
45,Apple Braeburn,69_100.jpg
46,Apple Braeburn,6_100.jpg
47,Apple Braeburn,70_100.jpg
48,Apple Braeburn,71_100.jpg
49,Apple Braeburn,72_100.jpg
50,Apple Braeburn,73_100.jpg
51,Apple Braeburn,74_100.jpg
52,Apple Braeburn,75_100.jpg
53,Apple Braeburn,76_100.jpg
54,Apple Braeburn,77_100.jpg
55,Apple Braeburn,78_100.jpg
56,Apple Braeburn,79_100.jpg
57,Apple Braeburn,80_100.jpg
58,Apple Braeburn,81_100.jpg
59,Apple Braeburn,82_100.jpg
60,Apple Braeburn,83_100.jpg
61,Apple Braeburn,84_100.jpg
62,Apple Braeburn,85_100.jpg
63,Apple Braeburn,86_100.jpg
64,Apple Braeburn,87_100.jpg
65,Apple Braeburn,88_100.jpg
66,Apple Braeburn,89_100.jpg
67,Apple Braeburn,8_100.jpg
68,Apple Braeburn,90_100.jpg
69,Apple Braeburn,91_100.jpg
70,Apple Braeburn,92_100.jpg
71,Apple Braeburn,93_100.jpg
72,Apple Braeburn,94_100.jpg
73,Apple Braeburn,95_100.jpg
74,Apple Braeburn,96_100.jpg
75,Apple Braeburn,98_100.jpg
76,Apple Braeburn,99_100.jpg
77,Apple Braeburn,9_100.jpg
78,Apple Braeburn,r_321_100.jpg
79,Apple Braeburn,r_322_100.jpg
80,Apple Braeburn,r_323_100.jpg
81,Apple Braeburn,r_324_100.jpg
82,Apple Braeburn,r_325_100.jpg
83,Apple Braeburn,r_326_100.jpg
84,Apple Braeburn,r_327_100.jpg
85,Apple Braeburn,r_32_100.jpg
86,Apple Braeburn,r_33_100.jpg
87,Apple Braeburn,r_34_100.jpg
88,Apple Braeburn,r_35_100.jpg
89,Apple Braeburn,r_36_100.jpg
90,Apple Braeburn,r_37_100.jpg
91,Apple Braeburn,r_38_100.jpg
92,Apple Braeburn,r_39_100.jpg
93,Apple Braeburn,43_100.jpg
94,Apple Braeburn,61_100.jpg
95,Apple Braeburn,7_100.jpg
96,Apple Braeburn,97_100.jpg
97,Apple Braeburn,r_3_100.jpg
98,Apple Braeburn,r_57_100.jpg
99,Apple Braeburn,r_74_100.jpg
100,Apple Braeburn,r_40_100.jpg
101,Apple Braeburn,r_41_100.jpg
102,Apple Braeburn,r_42_100.jpg
103,Apple Braeburn,r_43_100.jpg
104,Apple Braeburn,r_44_100.jpg
105,Apple Braeburn,r_45_100.jpg
106,Apple Braeburn,r_46_100.jpg
107,Apple Braeburn,r_47_100.jpg
108,Apple Braeburn,r_48_100.jpg
109,Apple Braeburn,r_49_100.jpg
110,Apple Braeburn,r_4_100.jpg
111,Apple Braeburn,r_50_100.jpg
112,Apple Braeburn,r_51_100.jpg
113,Apple Braeburn,r_52_100.jpg
114,Apple Braeburn,r_53_100.jpg
115,Apple Braeburn,r_54_100.jpg
116,Apple Braeburn,r_55_100.jpg
117,Apple Braeburn,r_56_100.jpg
118,Apple Braeburn,r_58_100.jpg
119,Apple Braeburn,r_59_100.jpg
120,Apple Braeburn,r_5_100.jpg
121,Apple Braeburn,r_60_100.jpg
122,Apple Braeburn,r_61_100.jpg
123,Apple Braeburn,r_62_100.jpg
124,Apple Braeburn,r_63_100.jpg
125,Apple Braeburn,r_64_100.jpg
126,Apple Braeburn,r_65_100.jpg
127,Apple Braeburn,r_66_100.jpg
128,Apple Braeburn,r_67_100.jpg
129,Apple Braeburn,r_68_100.jpg
130,Apple Braeburn,r_69_100.jpg
131,Apple Braeburn,r_6_100.jpg
132,Apple Braeburn,r_70_100.jpg
133,Apple Braeburn,r_71_100.jpg
134,Apple Braeburn,r_72_100.jpg
135,Apple Braeburn,r_73_100.jpg
136,Apple Braeburn,r_75_100.jpg
137,Apple Braeburn,r_76_100.jpg
138,Apple Braeburn,r_77_100.jpg
139,Apple Braeburn,r_78_100.jpg
140,Apple Braeburn,r_79_100.jpg
141,Apple Braeburn,r_7_100.jpg
142,Apple Braeburn,r_80_100.jpg
143,Apple Braeburn,r_81_100.jpg
144,Apple Braeburn,r_82_100.jpg
145,Apple Braeburn,r_83_100.jpg
146,Apple Braeburn,r_84_100.jpg
147,Apple Braeburn,r_85_100.jpg
148,Apple Braeburn,r_86_100.jpg
149,Apple Braeburn,r_87_100.jpg
150,Apple Braeburn,r_88_100.jpg
151,Apple Braeburn,r_89_100.jpg
152,Apple Braeburn,r_8_100.jpg
153,Apple Braeburn,r_90_100.jpg
154,Apple Braeburn,r_91_100.jpg
155,Apple Braeburn,r_92_100.jpg
156,Apple Braeburn,r_93_100.jpg
157,Apple Braeburn,r_94_100.jpg
158,Apple Braeburn,r_95_100.jpg
159,Apple Braeburn,r_96_100.jpg
160,Apple Braeburn,r_97_100.jpg
161,Apple Braeburn,r_98_100.jpg
162,Apple Braeburn,r_99_100.jpg
163,Apple Braeburn,r_9_100.jpg
